2016-11-14 11:50:51 AM : Error | Open Database | fax |  | 
2016-11-14 11:51:06 AM : Error | Open Database | fax |  | 
2016-11-14 11:51:21 AM : Error | Open Database | fax |  | 
14/11/2016 11:51:21 : Error | Open Database | fax |  | 
2016-11-14 11:52:28 AM : Error | Open Database | fax |  | 
14/11/2016 11:52:28 : Error | Open Database | fax |  | 
2016-11-14 11:52:49 AM : Error | Open Database | fax |  | 
14/11/2016 11:52:49 : Error | Open Database | fax |  | 
2016-11-14 11:53:41 AM : Error | Open Database | fax |  | 
2016-11-14 11:53:43 AM : Error | Open Database | fax |  | 
2016-11-14 11:54:04 AM : Error | Open Database | fax |  | 
2016-11-14 11:54:56 AM : Error | Open Database | fax |  | 
2016-11-14 11:55:18 AM : Error | Open Database | fax |  | 
2016-11-14 11:56:10 AM : Error | Open Database | fax |  | 
2016-11-14 11:56:31 AM : Error | Open Database | fax |  | 
2016-11-14 11:57:23 AM : Error | Open Database | fax |  | 
2016-11-14 11:57:44 AM : Error | Open Database | fax |  | 
2016-11-14 11:58:33 AM : Error | Open Database | fax |  | 
2016-11-14 11:58:42 AM : Error | Open Database | fax |  | 
2016-11-14 11:59:34 AM : Error | Open Database | fax |  | 
2016-11-14 11:59:55 AM : Error | Open Database | fax |  | 
2016-11-14 12:00:47 PM : Error | Open Database | fax |  | 
2016-11-14 12:01:08 PM : Error | Open Database | fax |  | 
2016-11-14 12:01:57 PM : Error | Open Database | fax |  | 
2016-11-14 12:02:06 PM : Error | Open Database | fax |  | 
2016-11-14 12:02:58 PM : Error | Open Database | fax |  | 
2016-11-14 12:03:19 PM : Error | Open Database | fax |  | 
2016-11-14 12:04:12 PM : Error | Open Database | fax |  | 
2016-11-14 12:04:33 PM : Error | Open Database | fax |  | 
2016-11-14 12:05:22 PM : Error | Open Database | fax |  | 
2016-11-14 12:05:31 PM : Error | Open Database | fax |  | 
2016-11-14 12:06:23 PM : Error | Open Database | fax |  | 
2016-11-14 12:06:44 PM : Error | Open Database | fax |  | 
2016-11-14 12:07:36 PM : Error | Open Database | fax |  | 
2016-11-14 12:07:57 PM : Error | Open Database | fax |  | 
2016-11-14 12:08:46 PM : Error | Open Database | fax |  | 
2016-11-14 12:08:55 PM : Error | Open Database | fax |  | 
2016-11-14 12:09:47 PM : Error | Open Database | fax |  | 
2016-11-14 12:10:08 PM : Error | Open Database | fax |  | 
2016-11-14 12:11:00 PM : Error | Open Database | fax |  | 
2016-11-14 12:11:21 PM : Error | Open Database | fax |  | 
2016-11-14 12:12:12 PM : Error | Open Database | fax |  | 
2016-11-14 12:12:20 PM : Error | Open Database | fax |  | 
2016-11-14 12:12:41 PM : Error | Open Database | fax |  | 
2016-11-14 12:13:33 PM : Error | Open Database | fax |  | 
2016-11-14 12:13:54 PM : Error | Open Database | fax |  | 
2016-11-14 12:14:46 PM : Error | Open Database | fax |  | 
2016-11-14 12:15:07 PM : Error | Open Database | fax |  | 
2016-11-14 12:15:59 PM : Error | Open Database | fax |  | 
2016-11-14 12:16:20 PM : Error | Open Database | fax |  | 
2016-11-14 12:17:09 PM : Error | Open Database | fax |  | 
2016-11-14 12:17:18 PM : Error | Open Database | fax |  | 
2016-11-14 12:18:10 PM : Error | Open Database | fax |  | 
2016-11-14 12:18:31 PM : Error | Open Database | fax |  | 
2016-11-14 12:19:24 PM : Error | Open Database | fax |  | 
2016-11-14 12:19:45 PM : Error | Open Database | fax |  | 
2016-11-14 12:20:34 PM : Error | Open Database | fax |  | 
2016-11-14 12:20:43 PM : Error | Open Database | fax |  | 
2016-11-14 12:21:35 PM : Error | Open Database | fax |  | 
2016-11-14 12:21:56 PM : Error | Open Database | fax |  | 
2016-11-14 12:22:48 PM : Error | Open Database | fax |  | 
2016-11-14 12:23:09 PM : Error | Open Database | fax |  | 
2016-11-14 12:23:59 PM : Error | Open Database | fax |  | 
2016-11-14 12:24:07 PM : Error | Open Database | fax |  | 
2016-11-14 12:24:28 PM : Error | Open Database | fax |  | 
2016-11-14 12:25:20 PM : Error | Open Database | fax |  | 
2016-11-14 12:25:42 PM : Error | Open Database | fax |  | 
2016-11-14 12:26:34 PM : Error | Open Database | fax |  | 
2016-11-14 12:26:55 PM : Error | Open Database | fax |  | 
2016-11-14 12:27:47 PM : Error | Open Database | fax |  | 
2016-11-14 12:28:08 PM : Error | Open Database | fax |  | 
2016-11-14 12:28:57 PM : Error | Open Database | fax |  | 
2016-11-14 12:29:06 PM : Error | Open Database | fax |  | 
2016-11-14 12:29:58 PM : Error | Open Database | fax |  | 
2016-11-14 12:30:19 PM : Error | Open Database | fax |  | 
2016-11-14 12:31:11 PM : Error | Open Database | fax |  | 
2016-11-14 12:31:32 PM : Error | Open Database | fax |  | 
2016-11-14 12:32:23 PM : Error | Open Database | fax |  | 
2016-11-14 12:32:31 PM : Error | Open Database | fax |  | 
2016-11-14 12:32:52 PM : Error | Open Database | fax |  | 
2016-11-14 12:33:44 PM : Error | Open Database | fax |  | 
